RowNumber,CustomerId,Department,Gender,Years of Experience,Salary
112,15665790,IT,Male,3.5,27231.26
113,15715951,Banking,Male,11.3,86797.41
114,15591100,Marketing,Male,3,22994.32
115,15609618,IT,Male,13.2,101300.94
116,15675522,IT,Female,9.6,74169.13
117,15705512,IT,Female,15,115638.29
118,15698028,Banking,Female,4.1,31766.3
119,15661670,IT,Female,26,199725.39
120,15600781,IT,Male,15.7,120834.48
121,15682472,Banking,Male,5,38131.77
122,15580203,Marketing,Male,13,100130.95
123,15690673,Banking,Female,18.3,141069.88
124,15760085,IT,Female,25.8,198129.36
125,15779659,Banking,Female,23.9,183646.41
126,15627360,Banking,Male,14.3,110265.24
127,15671137,Banking,Female,1.1,8636.05
128,15782688,IT,Male,6.1,46824.08
129,15575492,Banking,Female,22.3,171378.77
130,15591607,Banking,Male,21.7,167256.35
131,15740404,Banking,Female,16.1,124226.16
132,15718369,IT,Female,14.9,114935.21
133,15677871,Banking,Male,4.6,35608.88
134,15642004,Banking,Male,2.1,16459.37
135,15712543,IT,Male,16.2,124411.08
136,15584518,IT,Female,4.5,34941.23
137,15802381,IT,Female,21.8,167784.28
138,15610156,Banking,Male,12.1,93165.34
139,15594408,Marketing,Female,9.8,75161.25
140,15640905,Marketing,Female,1.1,8590.83
141,15698932,IT,Male,24.6,189543.9
142,15724944,Banking,Male,23.5,180427.24
143,15628145,Banking,Female,25.1,193318.33
144,15713483,Marketing,Male,20.7,159123.82
145,15612350,Banking,Female,16.4,126213.84
146,15800703,Marketing,Female,7,54141.5
147,15705707,Marketing,Female,18.3,141075.51
148,15754105,Banking,Male,3.2,24495.03
149,15703264,Banking,Male,9.7,74836.34
150,15794413,Banking,Male,0.1,878.87
151,15650237,Marketing,Female,11.6,89520.75
152,15759618,Banking,Female,19.5,149892.79
153,15811589,Marketing,Male,23.5,180800.42
154,15689044,Banking,Male,12.8,98646.22
155,15709368,Banking,Female,14.2,109041.53
156,15679145,Marketing,Male,2.3,17941.16
157,15655007,Banking,Female,10.8,82996.47
158,15623595,Marketing,Female,12,92067.35
159,15589975,Banking,Female,13.6,104719.66
160,15804017,IT,Female,14.6,112687.57
161,15692132,Marketing,Female,11,84699.56
162,15641122,Banking,Male,10.9,83473.82
163,15630910,Banking,Female,6.1,47125.11
164,15680772,Marketing,Female,13.9,106977.8
165,15658929,Marketing,Male,7.2,55582.54
166,15585388,IT,Male,18.2,139874.43
167,15724623,IT,Female,21.1,162503.48
168,15588537,Marketing,Female,25.5,196499.96
169,15574692,Marketing,Female,5.3,40721.24
170,15611325,IT,Male,6.9,53134.3
171,15587562,Banking,Female,21.3,164017.89
172,15613172,IT,Male,20.3,155996.96
173,15651022,IT,Male,0.7,5472.7
174,15586310,Banking,Male,14.6,112187.11
175,15625524,Banking,Male,19,146457.83
176,15755209,Marketing,Female,3.5,27286.1
177,15645248,Banking,Female,17,130553.47
178,15790355,IT,Male,23.3,179351.89
179,15762615,Marketing,Female,12.3,94774.12
180,15625426,IT,Female,1.1,8080.85
181,15716334,Marketing,Female,2.5,19482.5
182,15789669,Banking,Male,6.2,48071.61
183,15621075,IT,Female,22.7,174531.27
184,15810845,Banking,Male,7.2,55470.78
185,15719377,Banking,Female,1.1,8546.87
186,15654506,Banking,Male,12.5,95857.18
187,15771977,Banking,Female,25.3,194945.8
188,15708710,Marketing,Female,17.1,131521.72
189,15726676,Marketing,Male,25.5,196108.51
190,15587421,IT,Female,19.3,148564.76
191,15726931,Banking,Female,12.1,92982.61
192,15771086,Banking,Female,2.3,17675.36
193,15756850,Banking,Male,14.9,114996.43
194,15702741,Banking,Male,11.3,86957.42
195,15679200,Marketing,Male,16.7,128077.8
196,15594815,Banking,Male,0.1,600.36
197,15635905,Marketing,Female,5.6,43001.46
198,15777892,IT,Male,20.6,158591.12
199,15656176,Banking,Male,6.2,47847.19
200,15811127,Banking,Male,1.4,10488.44
201,15604482,Marketing,Male,0.8,5978.2
202,15622911,Banking,Male,15.8,121409.06
203,15600974,Marketing,Male,19,146145.93
204,15727868,Banking,Female,1.9,14374.86
205,15627801,Marketing,Male,12.3,94670.77
206,15773039,Banking,Male,23.4,179670.31
207,15755262,Marketing,Female,25.9,199304.74
208,15679531,Banking,Male,19.8,151954.39
209,15684181,Banking,Male,18.5,142513.5
210,15612087,Banking,Male,20.6,158264.62
211,15752047,IT,Male,22,169381.9
212,15624592,Banking,Male,22.1,169915.02
213,15573152,Banking,Female,11.6,88852.47
214,15594917,Banking,Female,5.3,40645.81
215,15785542,IT,Male,7.9,60427.3
216,15723488,IT,Male,20.5,157959.02
217,15680920,Banking,Male,17.3,133007.34
218,15786308,Marketing,Female,23,176576.62
219,15659366,Banking,Male,4.5,34888.04
220,15774854,Banking,Male,3.7,28737.71
221,15725311,Banking,Female,12.8,98178.57
222,15787155,Marketing,Male,16.3,125010.24
223,15727829,Banking,Male,21.8,167984.61
224,15733247,Banking,Male,0.6,4861.72
225,15568748,IT,Male,14.2,108872.45
226,15699029,Banking,Male,25.8,198252.88
227,15774393,Banking,Female,3.5,26960.31
228,15676895,IT,Female,11.1,85746.52
229,15637753,IT,Male,10,77206.25
230,15605461,IT,Female,7.9,61048.53
231,15808473,Banking,Male,14.6,111981.19
232,15627000,Banking,Male,8.1,62232.6
233,15787174,Banking,Female,20.3,156105.03
234,15723886,IT,Male,19.5,150135.38
235,15704769,Banking,Female,12.1,93146.11
236,15772896,IT,Male,4.4,33462.94
237,15711540,Banking,Female,18.8,144375
238,15764866,IT,Female,7.3,55803.96
239,15794056,Banking,Female,11.6,89048.46
240,15795149,Banking,Male,21.2,162812.16
241,15812009,Marketing,Male,17.7,136259.65
242,15651001,IT,Female,16.1,124052.97
243,15813844,Banking,Male,9.6,74158.8
244,15596175,IT,Male,5.9,45071.09
245,15576269,Marketing,Male,8.1,62030.06
246,15797219,Banking,Female,17.2,131953.23
247,15685500,IT,Male,10.3,79414
248,15599792,Banking,Female,26,199638.56
249,15657566,IT,Male,20.5,157577.29
250,15772423,IT,Male,17.5,134420.75
251,15628112,IT,Female,13,99805.99
252,15753754,Marketing,Female,12.7,97932.68
253,15793726,Banking,Female,22.2,170968.99
254,15694717,IT,Male,7.5,57558.95
255,15665834,Marketing,Male,23,176713.47
256,15765297,Marketing,Male,4.5,34283.23
257,15636684,Banking,Male,25.8,198637.34
258,15592979,IT,Female,20.4,156917.12
259,15750803,Banking,Female,6.6,50457.2
260,15607178,IT,Male,18.2,140075.55
261,15713853,IT,Male,8.5,65323.11
262,15673481,Marketing,Female,8.4,64323.24
263,15686776,Banking,Female,1.9,14956.44
264,15673693,Banking,Female,14.5,111879.21
265,15700696,Marketing,Male,2.4,18606.23
266,15813163,Marketing,Female,16,123137.01
267,15653857,Banking,Male,19.3,148528.24
268,15777076,Banking,Male,1.8,13898.31
269,15717398,Marketing,Female,10.6,81259.25
270,15799217,IT,Female,20.9,161051.75
271,15787071,Marketing,Male,24.9,191599.67
272,15619955,IT,Male,6.3,48559.19
273,15796505,IT,Female,24.2,186339.74
274,15725166,Banking,Male,4.3,33159.37
275,15800116,IT,Male,12.2,93883.53
276,15758685,Marketing,Female,14.4,110899.3
277,15694456,Banking,Male,1.5,11199.04
278,15767339,Banking,Female,24.7,189992.97
279,15683562,Banking,Male,21.4,164255.69
280,15782210,Banking,Male,19.8,152167.79
281,15668893,Banking,Male,4.4,33949.67
282,15669169,Marketing,Male,8.9,68143.93
283,15643024,IT,Male,6.1,47251.79
284,15699389,Banking,Male,3.4,25885.72
285,15708608,Banking,Female,25,192633.85
286,15626144,Banking,Male,4.5,34577.36
287,15573112,Marketing,Male,21,161229.84
288,15790678,Banking,Female,13.1,100816.29
289,15727556,Marketing,Female,23.6,181694.44
290,15697307,Marketing,Male,10.3,79078.91
291,15652266,IT,Male,17.9,137316.32
292,15607098,Marketing,Female,25.3,194926.86
293,15655774,Banking,Male,6.7,51285.49
294,15590241,Marketing,Female,19.6,150401.53
295,15785819,Banking,Male,14.6,112491.96
296,15723654,Banking,Male,9.6,73656.38
297,15774510,Banking,Female,13.9,106636.89
298,15684173,Marketing,Female,20.3,155853.52
299,15650068,Banking,Male,21.1,162599.51
300,15811490,Banking,Male,13.5,103737.82
301,15803976,Banking,Female,20.9,160990.27
302,15682541,Marketing,Female,2,15462.84
303,15695699,Banking,Male,1.3,10334.05
304,15624188,Banking,Female,24.8,190686.16
305,15812191,Banking,Male,12.3,94440.45
306,15636673,Banking,Male,3.7,28257.63
307,15594898,Banking,Male,22.1,170034.95
308,15660211,IT,Male,4.1,31824.29
309,15773972,Banking,Male,16.5,127166.49
310,15746726,IT,Male,5.8,44937.01
311,15712287,Banking,Female,24.5,188603.07
312,15702919,IT,Male,18.9,145111.37
313,15674398,Banking,Male,22.3,171463.83
314,15797960,IT,Female,23.8,182822.5
315,15631868,Marketing,Male,11.3,87213.33
316,15581539,Marketing,Male,7.4,57175.32
317,15662736,Banking,Male,15.7,120540.83
318,15666252,Marketing,Male,3.7,28714.34
319,15677512,Marketing,Female,11.1,85426.28
320,15626114,Banking,Male,6,46170.75
321,15810834,Marketing,Female,8.4,64448.36
322,15678910,Banking,Female,2.1,16278.97
323,15694408,Banking,Male,23.8,182855.42
324,15585215,Banking,Female,6.6,50404.72
325,15682757,Banking,Male,14,107640.25
326,15736601,Banking,Male,17.4,134132.65
327,15601848,Banking,Male,13.5,103480.69
328,15736008,Banking,Female,14.1,108761.05
329,15669064,IT,Male,23.3,179012.3
330,15624528,IT,Male,12.4,95145.14
331,15598493,Banking,Male,9.4,72143.44
332,15601274,Marketing,Female,2.5,19162.89
333,15702669,IT,Male,18.8,144680.18
334,15728669,IT,Female,23.1,177772.03
335,15742668,Marketing,Female,0.7,5597.94
336,15697441,Banking,Male,15.2,116828.51
337,15740476,IT,Female,22.7,174652.51
338,15648064,Banking,Male,0.3,2010.98
339,15636624,Marketing,Female,1.8,14109.85
340,15807923,IT,Female,5.7,43527.4
341,15745844,IT,Female,11.2,86099.23
342,15786170,Banking,Male,21,161574.19
343,15681081,Marketing,Female,5.1,38970.14
344,15684484,Banking,Male,16.6,127587.22
345,15785869,Banking,Female,3.9,30380.12
346,15763859,Banking,Female,11.8,90908.95
347,15658935,IT,Female,18,138275.01
348,15747358,IT,Male,4.2,32171.79
349,15735203,IT,Female,16.4,126143.23
350,15576256,Banking,Male,16.9,129892.93
351,15659420,Marketing,Male,13.3,102416.84
352,15593365,Marketing,Male,2.4,18719.67
353,15777352,Marketing,Female,8.1,61936.22
354,15812007,Marketing,Male,10.2,78358.94
355,15625461,Banking,Female,19.1,147224.27
356,15739438,Banking,Male,20.9,160979.66
357,15611759,Marketing,Female,17.2,132298.49
358,15661629,Marketing,Male,22.7,174248.52
359,15633950,Banking,Male,16.1,123547.28
360,15592386,Banking,Male,4.3,32790.02
361,15803716,Marketing,Male,23.6,181543.67
362,15696674,IT,Female,0.3,2319.96
363,15706365,Banking,Female,24.6,189543.19
364,15745088,IT,Female,1.4,10940.4
365,15676715,Banking,Male,25.9,199493.38
366,15613085,Marketing,Female,24.5,188193.25
367,15633537,IT,Female,22.4,172572.64
368,15594720,IT,Female,24.6,189339.6
369,15684042,IT,Male,7,53512.16
370,15583303,Banking,Female,4.4,34004.44
371,15611579,Marketing,Male,1.4,10598.29
372,15774696,IT,Female,14.7,113428.77
373,15694506,IT,Male,23.9,183487.98
374,15688074,IT,Male,24.4,187658.09
375,15759537,IT,Male,22.4,172459.39
376,15758449,Banking,Female,2.7,21016
377,15583456,IT,Male,15.9,122381.02
378,15667871,Marketing,Male,16.7,128123.66
379,15677371,Marketing,Female,2.5,19570.63
380,15629677,Marketing,Female,24.5,188150.6
381,15713578,Banking,Female,14.4,111020.24
382,15591509,Banking,Male,16.1,123775.15
383,15568240,IT,Female,19.1,146700.22
384,15622993,IT,Male,18.9,145251.35
385,15689294,IT,Male,10.7,82463.69
386,15720910,Banking,Female,2.1,15928.49
387,15721181,Marketing,Male,6,45886.33
388,15776433,Marketing,Male,24.2,186489.95
389,15748936,Marketing,Female,21.2,162922.65
390,15717225,Banking,Female,1.2,9262.77
391,15685226,IT,Female,11,84932.4
392,15785611,IT,Male,9.3,71557.12
393,15573456,Marketing,Male,10.1,77405.95
394,15684548,Marketing,Male,0.1,417.41
395,15620505,Marketing,Female,9.3,71405.17
396,15807432,IT,Female,19.9,153400.24
397,15584766,Banking,Male,0,371.05
398,15612187,IT,Male,8.8,67789.99
399,15762218,Banking,Female,19,145894.9
400,15646372,Banking,Female,23.9,183840.51
401,15690452,Banking,Male,14.2,108887.44
402,15747795,IT,Female,20,154071.27
403,15781589,Marketing,Male,23.3,179291.85
404,15732674,Marketing,Male,7.4,56937.43
405,15642291,Banking,Male,14.6,112239.03
406,15692761,Banking,Male,6,45909.87
407,15578045,Marketing,Female,22.6,173779.25
408,15745354,Marketing,Female,16.3,125696.26
409,15701376,IT,Male,20.7,159585.61
410,15691625,IT,Female,13.9,106761.47
411,15566594,Marketing,Male,16.8,129590.18
412,15760431,Banking,Male,10.4,80006.65
413,15686302,Marketing,Female,18.3,140451.52
414,15801559,IT,Female,24.4,187929.43
415,15810432,Marketing,Male,21.7,167155.36
416,15809616,Marketing,Male,24.9,191420.71
417,15720559,IT,Female,1.5,11384.45
418,15695632,Banking,Female,12.3,94898.1
419,15659843,Banking,Female,13.9,106781.59
420,15615624,Banking,Female,20.7,159508.52
421,15810418,IT,Female,12.2,93524.19
422,15716186,Banking,Female,11.3,87168.46
423,15674551,IT,Male,1.1,8128.32
424,15622834,Banking,Female,16.3,125518.32
425,15566111,Banking,Male,6.4,48963.59
426,15784597,Banking,Male,12.8,98368.24
427,15652883,IT,Male,19.3,148584.61
428,15806964,Banking,Male,3.6,27474.81
429,15576313,IT,Female,9.9,76192.21
430,15806467,IT,Male,17.5,134600.94
431,15597602,IT,Male,9.4,72467.99
432,15743040,IT,Male,26,199645.45
433,15705521,IT,Female,5.6,42749.85
434,15595039,IT,Female,17.7,136050.44
435,15799384,Banking,Male,9.6,73564.44
436,15581197,Banking,Female,11.1,85578.63
437,15693737,IT,Female,16.9,129826.89
438,15624623,Banking,Male,15.6,119666
439,15783501,Banking,Female,8.8,68052.08
440,15690134,IT,Female,21.3,164104.74
441,15782735,Banking,Female,10.4,80190.36
442,15611088,Banking,Female,10.9,84126.75
443,15672145,Banking,Female,9.1,70179
444,15732628,Banking,Male,15.3,118024.1
445,15787470,Marketing,Male,18.9,145704.19
446,15803406,Banking,Female,23.8,183049.41
447,15730460,Banking,Male,15.7,120906.83
448,15644572,Banking,Male,13.1,100433.83
449,15694860,Banking,Female,18,138777
450,15658169,Marketing,Female,16.2,124694.99
451,15794396,IT,Female,5.2,40084.32
452,15785798,Banking,Male,15.5,119232.33
453,15710825,Marketing,Male,5.7,43921.36
454,15668444,Marketing,Female,8.1,62222.81
455,15726631,Banking,Female,7.4,56577
456,15733797,Banking,Male,21.4,164253.35
457,15747960,Banking,Male,1,7666.73
458,15634632,Banking,Male,8.9,68487.51
459,15707362,IT,Male,25.9,199273.98
460,15662976,Marketing,Male,24.2,186062.36
461,15732778,IT,Male,25.4,195711.16
462,15718443,Banking,Male,4.8,36692.17
463,15670039,Marketing,Female,13.9,106920.57
464,15773792,Banking,Female,6.3,48725.68
465,15613786,Marketing,Male,21.7,167036.94
466,15726032,Banking,Male,8.9,68777.26
467,15663252,Marketing,Female,2.5,18924.92
468,15593782,IT,Female,9.3,71905.77
469,15633283,Banking,Male,8.4,64833.28
470,15749167,Banking,Male,24,184843.77
471,15759298,Marketing,Male,23,176730.02
472,15683625,Banking,Male,2.7,20629.4
473,15635367,Banking,Male,3.7,28415.36
474,15681705,Banking,Male,10,77231.27
475,15603156,Banking,Female,13.4,102750.7
476,15591986,IT,Male,4.5,34580.8
477,15798888,IT,Female,23.9,183598.77
478,15809722,Banking,Female,19.2,147358.27
479,15677538,Banking,Male,14.1,108469.2
480,15797736,Banking,Male,2.7,20612.82
481,15695585,Marketing,Male,23.6,181196.76
482,15744398,Banking,Female,20.8,160249.1
483,15750658,Banking,Male,14.4,110783.28
484,15578186,IT,Male,18.8,144995.33
485,15676519,Marketing,Male,19.5,150227.85
486,15637954,Banking,Female,7,53718.28
487,15758639,Banking,Male,9.8,75248.3
488,15613772,Banking,Male,1.9,14353.43
489,15731744,Banking,Male,17,130486.57
490,15807709,IT,Female,13,100127.71
491,15714689,Marketing,Male,25.5,196356.17
492,15699005,Banking,Female,1.3,9983.88
493,15624170,Banking,Female,15.5,118974.77
494,15725679,Banking,Female,25.3,194998.34
495,15585865,Banking,Female,17.5,134901.34
496,15804256,IT,Male,9.5,72924.56
497,15662403,Banking,Female,13.1,101057.95
498,15733616,Banking,Male,18.6,142838.64
499,15591995,IT,Male,16.5,127059.04
500,15677020,Banking,Female,15.1,116503.92
501,15727688,Marketing,Male,7.1,54405.79
502,15715941,Banking,Male,11.5,88721.84
503,15714485,Banking,Male,9.6,74135.48
504,15730059,Marketing,Male,14.5,111346.22
505,15715527,Marketing,Female,25.3,194902.16
506,15576623,Banking,Male,4.1,31474.27
507,15805565,IT,Male,2.8,21198.39
508,15677307,IT,Female,24.3,186976.6
509,15773890,Banking,Male,15.2,117202.19
510,15598883,Marketing,Female,18.7,143739.29
511,15568506,IT,Female,21,161811.23
512,15761043,IT,Female,12.8,98090.91
513,15782236,Marketing,Male,9.2,71095.41
514,15593601,Banking,Male,1.7,13107.24
515,15682048,Banking,Female,8.7,67110.59
516,15746902,Marketing,Male,11.5,88225.02
517,15752081,Banking,Female,8.1,62256.87
518,15781307,IT,Male,17.7,135925.72
519,15775912,Banking,Male,23.1,177815.87
520,15745417,Banking,Male,16.4,126471.13
521,15671256,Banking,Female,24.5,188574.12
522,15653547,Banking,Male,15.5,119175.45
523,15595766,Marketing,Male,18.1,139093.73
524,15742358,IT,Male,15.1,115916.55
525,15763274,Banking,Male,12.5,96463.25
526,15786063,Banking,Female,14.6,112349.51
527,15600258,Banking,Male,21.5,165303.79
528,15573318,Banking,Male,21.6,166031.08
529,15653849,IT,Female,5,38411.79
530,15694272,Banking,Male,10.1,77783.35
531,15736112,Marketing,Female,3.9,29871.79
532,15749851,Marketing,Female,7.8,59747.63
533,15663478,Banking,Male,10.4,79919.13
534,15592300,Marketing,Male,10,76773.53
535,15567832,Banking,Female,7,54018.93
536,15776780,Banking,Male,9.2,70649.64
537,15592846,IT,Male,7.7,59093.39
538,15739803,Marketing,Male,16.6,127569.8
539,15794142,IT,Female,2.4,18260.98
540,15762729,IT,Female,9.5,73275.96
541,15667896,Banking,Male,17.7,136129.49
542,15626578,Banking,Male,19.9,153237.59
543,15776223,Banking,Female,13.9,106841.12
544,15705953,Marketing,Male,14.2,109078.35
545,15802593,Banking,Female,11.4,87822.14
546,15615457,Marketing,Female,16.5,126644.98
547,15708916,Banking,Male,6.2,47414.15
548,15720187,IT,Female,5.4,41879.99
549,15595440,Banking,Male,9.9,75808.1
550,15600651,Banking,Male,6.2,47911.03
551,15750141,IT,Female,3.7,28737.78
552,15657284,IT,Male,0.3,2079.2
553,15763063,Marketing,Female,15.8,121562.33
554,15709324,Banking,Male,7.2,55003.79
555,15711309,IT,Male,25.1,193131.42
556,15775318,Marketing,Female,25,191932.27
557,15705515,IT,Male,20.7,159418.1
558,15634844,IT,Male,24.9,191468.78
559,15717046,Marketing,Male,5.1,38913.68
560,15571816,Marketing,Female,0.1,705.18
561,15670080,IT,Female,18,138490.03
562,15800440,Marketing,Male,10.8,82970.69
563,15665678,Marketing,Male,10,76744.72
564,15665956,Banking,Female,9.3,71244.59
565,15788126,Marketing,Female,1.6,12182.15
566,15811773,Banking,Male,18.4,141210.5
567,15651674,Marketing,Female,24.9,191763.07
568,15689614,Marketing,Female,4.9,37938.74
569,15795564,IT,Male,9.7,74890.58
570,15706647,Banking,Male,21.7,166698.18
571,15728505,Banking,Male,8.1,62678.53
572,15730076,Banking,Male,8.8,67740.08
573,15622003,Banking,Male,21,161519.77
574,15607312,Marketing,Female,20.8,159835.78
575,15644753,Marketing,Male,4,30876.84
576,15653620,Banking,Female,1.9,14858.1
577,15761986,Marketing,Female,9.8,75685.97
578,15633922,Banking,Male,18.7,144183.1
579,15734674,Banking,Female,8.5,65170.66
580,15658032,Banking,Male,10.7,82526.92
581,15692671,Marketing,Male,22,169161.46
582,15737741,Marketing,Female,14.2,109291.39
583,15576352,Marketing,Female,0.8,6057.81
584,15753719,IT,Female,10,77077.14
585,15803689,IT,Female,7.1,54954.51
586,15718057,Banking,Female,23.3,179614.8
587,15722010,Marketing,Male,4.6,35588.07
588,15680998,Banking,Male,15.3,117356.14
589,15614782,Banking,Male,20.9,160696.72
590,15591047,Marketing,Female,19.1,147278.43
591,15788291,IT,Female,7.4,56594.36
592,15604044,Banking,Male,0.2,1299.75
593,15679587,Banking,Female,3.3,25095.03
594,15775153,Marketing,Male,19,146326.45
595,15603925,Marketing,Female,5,38296.21
596,15680970,IT,Female,21.3,164061.6
597,15697183,Marketing,Male,14,107811.28
598,15567446,IT,Male,4,30838.51
599,15637476,IT,Female,1.2,9221.78
600,15714939,IT,Female,4.4,33738.27
601,15683503,Banking,Female,14.4,110916.15
602,15645569,Marketing,Female,22.1,169654.57
603,15782569,Banking,Female,9.1,69829.4
604,15592387,Banking,Male,7.1,54926.51
605,15609286,Banking,Male,12.3,94728.49
606,15814035,Banking,Male,10.5,80393.27
607,15661249,Banking,Male,14.5,111307.98
608,15629117,Banking,Male,2.6,19834.32
609,15607170,Banking,Male,10.2,78397.24
610,15586585,IT,Female,11.2,86410.28
611,15686611,Banking,Male,22.5,172749.65
612,15603203,Banking,Female,0.1,1002.39
613,15619857,Banking,Female,1.8,13601.79
614,15805062,Marketing,Male,10.1,77866.91
615,15660271,IT,Male,22.8,175296.76
616,15745295,Marketing,Female,15.8,121751.04
617,15719352,Marketing,Male,11.6,89593.26
618,15766575,IT,Female,25.1,193437.89
619,15594594,Marketing,Male,11.3,86945
620,15646161,Marketing,Female,23.8,183318.79
621,15682585,Banking,Male,9.3,71154.1
622,15603134,Marketing,Female,19.7,151887.16
623,15636444,IT,Female,9.9,75888.65
624,15773456,IT,Male,11.6,89566.74
625,15745307,Marketing,Female,3.4,26475.79
626,15604119,Marketing,Male,16.4,126355.8
627,15626900,Banking,Male,12.2,93839.3
628,15605447,Banking,Male,1,7698.6
629,15589030,Banking,Male,18.9,145593.85
630,15692463,Marketing,Female,5.9,45042.56
631,15712403,Banking,Female,7.9,61108.56
632,15811762,IT,Female,7.5,57553.98
633,15718673,Marketing,Female,8.1,62674.42
634,15724282,IT,Male,1.6,12120.79
635,15738181,Banking,Male,6.5,50129.87
636,15633648,Marketing,Female,7.2,55022.43
637,15603323,Marketing,Female,15.3,117834.91
638,15583725,Banking,Male,21.9,168840.23
639,15588350,Banking,Female,3.2,24234.11
640,15798398,Banking,Female,24.8,190627.01
